Channel	Riqueza de Familias	Índice de Shannon-Wiener	Índice de Gini-Simpson	Índice de Pielou
1	13	1.16837291581296	0.385187727969886	0.455515003605868
2	11	1.07729116033659	0.418684925305568	0.449265308855369
3	7	1.08422194662249	0.403850790895062	0.557179861130202
4	15	1.47963111624469	0.319620317017419	0.546382454668847
5	7	0.951644244066948	0.443550703820741	0.489048399551719
6	5	1.09223330191048	0.3971875	0.678642707166376
7	9	1.098768725122	0.407654218149845	0.500071197298402
8	10	1.04541596116084	0.428111706231127	0.454018383225739
9	6	0.996103302942848	0.431092603608963	0.5559358385152
10	10	1.14384841403892	0.402319339849383	0.496767054350889
11	7	1.07448159229611	0.413081285444235	0.552174309187781
12	12	1.30240183922077	0.355673469387755	0.524125056903803
13	11	1.1401978933943	0.406875584952356	0.475499454179112
14	7	1.05800781699618	0.407445947508382	0.543708463368578
15	6	1.03868225066595	0.417151435541377	0.579699601706834
